Title     : 你家外墙怎么总是鼓包掉皮？掏空6个钱包，买不来一个正经外立面？【柴知道】
Video ID  : s2kPU6k1m6Q
URL       : https://www.youtube.com/watch?v=s2kPU6k1m6Q
Language  : Chinese (zh)
Generated : No (manually created)
Snippets  : 216
Saved at  : 2026-06-05 13:40:38
------------------------------------------------------------

[00:08.15]  这是柴司隔壁的小区
[00:09.79]  6 万多一平米
[00:11.14]  我们掏空 6 个钱包也买不起
[00:13.63]  但令人欣慰
[00:14.78]  哦不 是令人惋惜的是
[00:16.64]  它的外墙也一样会鼓包 掉皮
[00:19.84]  像这样又贵又掉皮
[00:21.38]  贴满狗皮膏药的房子
[00:22.98]  在我们身边遍地都是
[00:25.41]  为什么掏空 6 个钱包买了房
[00:27.46]  连一个体面的外立面都买不到
[00:29.76]  是业主没氪够金
[00:31.04]  还是开发商少了点良心
[00:41.47]  很多业主认为 房屋的外立面
[00:43.53]  反映了一个小区的档次
[00:45.31]  目前最常见的外立面材料有这些
[00:47.68]  其中最便宜的是涂料
[00:49.54]  最贵的是铝板 干挂石材
[00:51.34]  和玻璃幕墙
[00:53.18]  在这些外立面的下方
[00:54.59]  还会有一层保温层
[00:56.00]  然后才是墙体
[00:57.67]  而外立面的质量和寿命
[00:59.39]  除了跟材料本身有关
[01:01.18]  跟当地的天气环境
[01:02.59]  开发商的施工质量
[01:03.81]  也有很大的关系
[01:08.29]  在 2000 年左右
[01:09.57]  很多楼房的外立面都流行用瓷砖
[01:12.34]  瓷砖要靠砂浆粘贴到墙体上
[01:14.62]  但硬化后的砂浆会留有缝隙
[01:17.32]  雨水年复一年进入缝隙中
[01:19.23]  再结冻 融化
[01:20.69]  就会破坏瓷砖和墙体之间的粘合力
[01:23.88]  时间一长
[01:25.45]  瓷砖就脱落了
[01:27.94]  如今很多地方都早已禁止
[01:29.58]  或限制使用瓷砖作为外墙饰面
[01:32.40]  在瓷砖退场后
[01:33.83]  新小区们用的最多的外立面材质
[01:36.25]  就是涂料
[01:40.27]  涂料的成本很低
[01:41.48]  每平米只要几十块钱
[01:43.66]  放眼望去
[01:44.43]  我们身边基本都是这种“涂料房”
[01:47.24]  不同的涂料间有一些区别
[01:49.10]  普通涂料比较脆皮
[01:50.89]  弹性涂料的延展性和韧性比较好
[01:53.39]  相对不那么容易开裂 脱落
[01:56.01]  有一些小区为了看起来更高档一些
[01:58.44]  会选用真石漆
[02:00.24]  但真石漆只是看着像大理石
[02:02.99]  本质上仍然是一种仿石涂料
[02:05.55]  施工时像这样涂上去就行了
[02:09.26]  无论是什么涂料
[02:10.48]  对施工都有一定的要求
[02:12.46]  如果施工时基层的含水量过大
[02:14.70]  或者涂料的成膜不好
[02:16.56]  都会导致空鼓 甚至脱落
[02:18.39]  变成柴司附近小区的这个样子
[02:20.78]  相信你也绝不陌生
[02:23.34]  但还有一些时候
[02:24.56]  外墙脱落不是因为涂料不行
[02:26.80]  而是因为更下层的保温材料
[02:29.05]  出了问题
[02:30.44]  比如位于杭州钱塘区的龙润城
[02:32.43]  就用了无机（轻集料）保温砂浆
[02:35.37]  它在价格和防火性能上有一定优势
[02:38.10]  但材料本身的脆性比较大
[02:39.88]  吸水率高
[02:40.94]  如果发生渗水
[02:42.16]  外界的风吹雨淋
[02:43.31]  以及反复的冻融循环
[02:45.10]  就会导致材料脱落
[02:53.26]  这种材料确实不太适合多雨的杭州
[02:56.20]  2020 年 3 月 杭州市政府
[02:57.93]  开始限制使用这种保温材料
[03:00.30]  很显然
[03:01.21]  它也不适合杭州隔壁的上海
[03:04.01]  位于上海奉贤区的南行兴苑
[03:06.18]  也使用了无机保温砂浆
[03:08.23]  也出现了外墙保温层
[03:09.77]  大片脱落的现象
[03:18.39]  保温材料脱落并不罕见
[03:20.30]  很多小区用的是粘锚外墙结构
[03:23.07]  它通常是把保温材料
[03:24.55]  通过水泥砂浆粘贴到基墙上
[03:27.20]  再通过保温钉固定
[03:28.54]  最外层刷涂料
[03:30.32]  但问题就在于
[03:51.90]  用涂料哪怕是真石漆做外立面
[03:54.58]  也总显得不够高级
[03:56.69]  所以一些档次更高的小区
[03:58.36]  会选择用真石漆的“贵替”
