Title     : Why English is SO hard to learn? | + Lesson  Notes
Video ID  : J2YDI1lpYOw
URL       : https://www.youtube.com/watch?v=J2YDI1lpYOw
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 565
Saved at  : 2026-06-05 10:11:25
------------------------------------------------------------

[00:00.24]  Hello and welcome to today's lesson.
[00:03.92]  Today [sighs]
[00:04.64]  we're going to talk about why English is
[00:08.08]  so hard to learn. Now, I know what some
[00:11.36]  of you may be thinking. Well, English, I
[00:13.84]  think it's it's pretty easy to learn or
[00:16.24]  it's a lot easier than other languages.
[00:18.96]  And that may be true. I know it depends
[00:21.20]  on each person. However, today I want to
[00:25.52]  focus on something that actually does
[00:28.96]  make English a bit challenging and I
[00:31.60]  think some of the words that we're going
[00:33.04]  to have a look at will be new and and I
[00:36.08]  think that's great. I always want you to
[00:37.60]  learn something new. So, the way that I
[00:40.16]  want to start out and present this is
[00:43.60]  with uh different sentences and I want
[00:45.76]  you to participate. I want you to
[00:47.84]  practice saying the sentences out loud
[00:51.28]  like this first one. I'll give you a
[00:52.96]  moment. Say it out loud and then you can
[00:55.28]  hear me say it.
[01:00.80]  So, I hope that you said the bandage was
[01:04.48]  wound around his wound.
[01:09.04]  The bandage was wound around his wound.
[01:13.44]  And the confusing words in this sentence
[01:16.48]  would be wound and wound. So wound, this
[01:20.72]  is well the past simple or the past
[01:23.60]  participle of the verb to wind. Wound.
[01:28.24]  And wound, this is a noun. This is just
[01:31.60]  referring to well, if you get hurt or
[01:35.44]  injured and you have a wound. So wound
[01:39.76]  and wound. I want to start out by saying
[01:43.04]  that the sentences that we're going to
[01:45.68]  have a look at in this lesson, they are
[01:49.12]  all from well, this lady right here,
[01:52.24]  Marlene Davis. So, she was uh an English
[01:57.04]  instructor. She was a newspaper
[01:58.64]  columnist and she came up with these 20
[02:01.76]  sentences that we're going to look at
[02:03.52]  today entitled the article why English
[02:06.32]  is so hard to learn which is the title
[02:09.84]  also of this lesson and really what it
[02:14.40]  focuses on. Oh yeah, I want to make this
[02:17.44]  announcement too. If you would like to
[02:19.44]  get this sent get these sentences and
[02:21.60]  download the lesson notes, you can join
[02:23.92]  our email community. There's a link down
[02:26.56]  in the description. I also pinned a link
[02:29.04]  here in the chat. If you are already a
[02:31.68]  part of our community, I'll go ahead and
[02:33.68]  email them to you so you can look out
[02:35.60]  for that. So, the reason why these
[02:38.16]  sentences are a little challenging is
[02:40.24]  because they all have heteron. This is
[02:43.36]  when you have one or well, one of two or
[02:46.40]  more words that have the same spelling
[02:49.52]  but a different meaning and
[02:51.36]  pronunciation. And that's why they can
[02:53.68]  be a little confusing. Like these words
[02:55.52]  down here, wind like the wind is blowing
[02:58.80]  or wind like you're winding a clock.
[03:02.56]  This is an example of a heteron. So once
[03:06.40]  again, I want you to practice, you know,
[03:08.88]  practice your speaking skills. Say these
[03:11.04]  sentences out loud and then you can
[03:13.44]  listen to the way I say it and then
[03:14.80]  again practice once more. So how would
[03:16.48]  you say this sentence right here?
[03:23.36]  Okay, I'll say the farm was cultivated
[03:27.76]  to produce produce.
[03:31.52]  The farm was cultivated to produce
[03:35.44]  produce.
[03:37.84]  So to produce, this is a verb. You're
[03:41.36]  making something. You're bringing it
[03:43.12]  into existence. Two syllables. The
[03:45.52]  stress is on that second syllable. To
[03:47.68]  produce something. produce. This is food
[03:51.92]  that's grown. Vegetables would be an
[03:54.32]  example of produce. The stress is on the
[03:57.20]  first syllable. And this is loosely a
[04:00.32]  syllable stress rule. When you have a
[04:02.72]  word that has two syllables, generally
[04:05.28]  speaking, the verb is going to be
[04:07.76]  stressed on the second syllable to
[04:10.16]  produce and the noun is going to be
[04:12.96]  stressed on the first syllable produce.
[04:16.32]  Okay? So again, think about the the
[04:18.56]  syllable stress. And this is when people
[04:20.96]  may make a slight speaking mistake and
[04:23.12]  they end up stressing the wrong syllable
[04:25.52]  and it can cause some confusion at
[04:28.16]  times. Here's the next one. Again, I
[04:30.08]  want you to say it out loud first.
[04:38.16]  All right. So, I hope you said the dump
[04:41.68]  was so full that the workers had to
[04:44.72]  refuse more refu.
[04:48.08]  So, refuse to refuse. Once again, you
[04:51.28]  see that twocllable verb, the stress is
[04:53.84]  on the second syllable. You refuse
[04:55.76]  something. I don't want it. We got to
[04:57.68]  say no. Refuse is just another word that
[05:02.40]  you could use to talk about uh garbage,
[05:05.36]  trash, unwanted waste material. refuse.
[05:08.88]  The stress is on that first syllable.
[05:11.28]  So, like I said, some of these words, I
[05:13.20]  think, are not as commonly used. You're
