Title     : 3 IMPORTANT phrases
Video ID  : sfUA8RUOJ6M
URL       : https://www.youtube.com/watch?v=sfUA8RUOJ6M
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 22
Saved at  : 2026-06-05 16:47:23
------------------------------------------------------------

[00:00.00]  listen up I have three phrases that will
[00:02.88]  really help you emphasize an important
[00:05.04]  point
[00:06.00]  if you want to say that something you're
[00:08.28]  about to say is very important say hey
[00:10.86]  listen up this is quite informal so
[00:13.32]  don't use this in a very formal setting
[00:15.12]  more formal English you could say this
[00:17.70]  is a prime example if you say something
[00:20.28]  is a prime example it means it's very
[00:23.46]  important to your point it's very
[00:25.56]  important to the idea that you're
[00:27.24]  talking about it's Prime and finally if
[00:30.00]  you say something is key or a key point
[00:32.94]  it also means that it's very important
[00:35.76]  for whatever you're trying to accomplish
[00:37.80]  now we sort of use this phrase as slang
[00:39.96]  too we might say it's key to study
[00:42.48]  English every day so that you can
[00:44.58]  improve what do you guys think of these
[00:46.50]  phrases let me know and follow for more
[00:48.84]  English
