Title     : 🚨Common English idiom🚨
Video ID  : 5eR1JHcmpIg
URL       : https://www.youtube.com/watch?v=5eR1JHcmpIg
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 26
Saved at  : 2026-06-05 17:00:25
------------------------------------------------------------

[00:00.00]  when you want to say that something
[00:01.68]  comes really natural and once you learn
[00:03.84]  it
[00:04.56]  you'll never forget it you can say it's
[00:06.56]  like riding a bike this popular phrase
[00:09.44]  is used when you want to tell someone
[00:11.20]  that it will be easy to remember to do
[00:13.36]  something
[00:14.32]  when i was very young i worked in an ice
[00:17.44]  cream store and i made ice cream cones
[00:19.84]  that looked like this one i was really
[00:21.84]  good at making these ice cream cones and
[00:24.16]  i think it's kind of like riding a bike
[00:26.08]  if i were to go and try to make you an
[00:28.16]  ice cream cone i think i could still do
[00:30.56]  it perfectly to this day this phrase is
[00:33.44]  kind of funny in english because you
[00:35.60]  could use other phrases to mean the same
[00:37.92]  thing you could say it's just like
[00:39.28]  driving a car or it's just like walking
[00:42.16]  but we say it's just like riding a bike
[00:45.92]  do you have a phrase just like this one
[00:48.08]  in your native language to say that
[00:49.92]  something is easy
[00:51.52]  and comes naturally once you have
[00:53.68]  learned it let me know in the comments
