Title     : GO OUT Has 8 Different Meanings  😱 Phrasal Verb Lesson
Video ID  : AibICZquK6A
URL       : https://www.youtube.com/watch?v=AibICZquK6A
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 189
Saved at  : 2026-06-05 08:53:51
------------------------------------------------------------

[00:00.03]  today I'm going to talk to you about a
[00:01.38]  phrasal verb which is really going to
[00:03.69]  help you improve your listening and
[00:05.79]  speaking fluency
[00:09.70]  [Music]
[00:14.21]  what's up everyone my name is Wes this
[00:17.01]  is Interactive English which is all
[00:19.68]  about helping you guys practice and
[00:22.14]  improve your English skills in today's
[00:24.03]  lesson we are talking about phrasal
[00:26.88]  verbs but we're really just going to
[00:28.89]  talk about one phrasal verb and that
[00:31.35]  phrasal verb is there we go go out that
[00:37.86]  is the phrasal verb that we want to look
[00:39.99]  at today and I'm going to teach you
[00:42.39]  eight different meanings for this
[00:45.36]  phrasal verb you heard me correctly this
[00:47.67]  phrasal verb has eight different
[00:49.35]  meanings and that is one thing that is
[00:51.69]  really challenging about phrasal verbs
[00:54.48]  is that they can have multiple meanings
[00:57.15]  not just two three or four but even more
[01:00.87]  than that so it's important that you
[01:02.40]  know how this phrasal verb is used
[01:04.44]  especially in everyday conversation
[01:06.81]  because that's going to help you improve
[01:08.49]  your listening and speaking I'm going to
[01:10.95]  tell you the meaning I'll give you some
[01:12.66]  example sentences I'll also show you
[01:15.00]  some videos so that you can see how the
[01:17.28]  phrasal verb is used in context you
[01:19.53]  ready let's begin the first meaning of
[01:22.41]  go out and probably one of the more
[01:24.42]  common uses is just to leave the house
[01:27.27]  and induce something usually you're
[01:29.94]  doing something for enjoyment oftentimes
[01:33.27]  you might hear people say you know what
[01:35.64]  are you doing tonight well I'm going out
[01:37.14]  with my friends so get all dressed up to
[01:38.97]  go out with friends go out with some
[01:41.52]  friends later if you want to come or
[01:43.32]  they might just say I'm going out
[01:45.00]  tonight we're going out tonight let's go
[01:47.85]  out tonight you're going out it's not
[01:49.98]  what are you guys doing tonight are you
[01:51.21]  going out are you staying in let me know
[01:53.19]  tell me in the comments I'm gonna be
[01:55.11]  staying in tonight a bit of a homebody
[01:57.89]  no not gonna be going out are you going
[02:00.78]  out tonight yeah I'm going to a club hey
[02:02.97]  you hate me who a second would be Casey
[02:05.25]  we're going out tonight another meaning
[02:07.77]  of go out is to have a relationship with
[02:12.18]  somebody that you are dating another
[02:14.55]  person it doesn't really give us
[02:16.38]  specific information as to how serious
[02:19.08]  the relationship is but it just tells us
[02:21.69]  that okay these people are together
[02:23.52]  they're
[02:24.32]  they're in a relationship so you might
[02:26.54]  hear somebody say like well I've been
[02:28.94]  going out with her for six months or
[02:31.46]  I've been going out with him for three
[02:33.95]  years that just tells us that these
[02:36.26]  people are in a relationship and it
[02:38.18]  could be something that's long-term or
[02:40.10]  even if you just started dating somebody
[02:42.41]  and you could say yeah you know we
[02:44.36]  haven't been going out for very long I'm
[02:45.92]  going out over a month Wow so how long
[02:48.80]  did you go out with your phone
[02:50.77]  alright about six months once you're
[02:53.87]  married you wouldn't use this phrasal
[02:55.70]  verb to say you're in a relationship
[02:57.32]  with with your husband or wife you
[02:58.97]  wouldn't say we're going out but it's
[03:01.19]  it's more so just dating you're in a
[03:03.29]  relationship before you're married
[03:04.91]  already been going out for years won't
[03:07.46]  come here I think that we should stop
[03:09.65]  going out on dates
[03:11.00]  a respectable well born young woman
[03:13.25]  going out with a married man
[03:14.81]  guys girls go out with the three months
[03:16.64]  have the time of their lives until they
[03:17.84]  grow up meet the man that married
[03:19.16]  another meaning of go out is to stop
[03:23.15]  burning it can also be used when talking
[03:25.34]  about lights in the case of a fire
[03:27.20]  you're just waiting for the fire to stop
[03:29.72]  burning and waiting until it goes out
[03:32.54]  can be used when talking about lights as
[03:35.06]  well a flashlight or even the lights in
[03:37.64]  your home there was a strong storm and
[03:39.47]  the lights went out or if you're using a
[03:41.12]  flashlight and the battery dies you
[03:42.83]  could say yeah you know the light went
[03:44.39]  out so in this case it's often used in
[03:46.91]  the past tense because you had light and
[03:49.61]  then you don't have it anymore
[03:51.29]  and you'd say it went out these lights
[03:53.60]  went out one by one if you said the
[03:56.48]  lights went out immediately after the
[03:57.80]  killing I can't believe she told me to
[03:59.27]  put trees on that drawing no no honey my
[04:03.02]  light went out the next meeting of go
[04:05.18]  out is when you're talking about the sea
[04:07.73]  you can say that that the tide goes out
[04:10.55]  that the water is moving away from the
[04:13.43]  land the tide comes in the tide
[04:15.71]  out the water is moving away from the
[04:18.56]  land it goes out every time the tide
[04:20.78]  goes out
[04:21.53]  I'm sinking goes out takes the sand
[04:25.91]  within say another meaning for go out
[04:31.01]  and I think this is the fifth one is to
[04:34.31]  send a message by post often when I
[04:37.73]  think about this one I'm thinking about
[04:39.26]  an invitation
[04:40.31]  perhaps a wedding invitation and you
[04:42.38]  might say well the the wedding
[04:44.78]  invitations they haven't gone out just
[04:46.91]  yet so in this case it means the same as
[04:49.34]  to send to go out well I'll certainly
[04:54.26]  try sir
[04:55.22]  actually the wedding invitations go out
[04:56.93]  this week another meaning go out and
[04:59.51]  this is British English is just to be
[05:02.09]  broadcast so if you're talking about a
[05:04.10]  TV or a radio program you can say that
[05:07.40]  it goes out at 8 a.m. on Mondays this is
[05:12.74]  when it is broadcasted and it goes out
[05:15.02]  it went out on the radio is that right
[05:17.57]  well we ain't got radio then we can use
[05:20.90]  this phrasal verb when we're talking
[05:22.55]  about sports and and just use it to say
[05:25.07]  that you leave a competition especially
[05:28.25]  if you're competing in a tournament and
[05:31.10]  you might hear somebody say yeah you
[05:32.84]  know our team we went out in the first
[05:35.21]  round and often you would hear it being
[05:36.83]  used in the past tense because the team
[05:39.47]  has already lost so they would say yeah
[05:42.05]  we we went out last round and we're no
[05:45.62]  longer competing we can also use this
[05:47.72]  phrasal verb when talking about fashion
[05:49.82]  there are so many different uses for go
[05:52.13]  out and you would use it to say that
[05:54.40]  something is no longer fashionable in
[05:57.59]  this case I think people would often use
[06:00.26]  it and say that something goes out of
[06:02.75]  style it's no longer fashionable people
[06:05.75]  don't don't wear these clothes anymore
[06:08.39]  it's gone out of style for example my
[06:11.66]  clothes never go out of style I'm so I
[06:15.46]  can't I can't even get through that
[06:17.78]  sentence without without laughing
[06:19.67]  because it's so yeah it's just not true
[06:22.46]  this baby never went out of style
[06:25.00]  [Music]
[06:27.19]  it went out of style in the 50s and
[06:29.51]  trust me honey it making a comeback so
[06:36.14]  those are the many different meanings
[06:39.08]  for go out do you remember all of them
[06:41.45]  let's review really quickly so you can
[06:43.64]  go out and leave the house for enjoyment
[06:45.89]  you can date somebody and have a
[06:47.99]  relationship and go out with them a fire
[06:50.93]  can go out and no longer burn or lights
[06:54.11]  can go out and they're just no longer on
[06:56.51]  if talking about the sea level the tides
[06:59.15]  can go out what was the other one
[07:03.40]  messages by post invitations can go out
[07:06.92]  in British English a radio or TV program
[07:09.92]  can go out and be broadcasted in sports
[07:12.74]  you can go out of a competition because
[07:14.75]  you are no longer participating and in
[07:17.48]  fashion something can go out of style I
[07:21.08]  hope you enjoyed this lesson and if you
[07:23.81]  learn something new please hit that like
[07:26.48]  button also I'd recommend that you
[07:28.43]  subscribe to our newsletter it's another
[07:30.17]  great way to connect with us we send out
[07:32.21]  all these cool messages with useful and
[07:34.52]  free resources and all of this
[07:36.26]  information will go out to you link is
[07:39.68]  in the description thank you guys so
[07:41.57]  much for watching and I'll see you next
[07:43.28]  time
