Title     : CONFUSING WORDS IN ENGLISH 📝  | Vocabulary Quiz Lesson
Video ID  : 2HhESbmc4VQ
URL       : https://www.youtube.com/watch?v=2HhESbmc4VQ
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 704
Saved at  : 2026-06-05 10:21:00
------------------------------------------------------------

[00:00.08]  Hey everyone, welcome to today's lesson.
[00:03.12]  My name is Wes. This channel is called
[00:05.76]  Interactive English and it's really just
[00:08.16]  all about helping you practice and
[00:10.24]  improve your English skills. We try to
[00:12.00]  do a little bit of everything. And if
[00:14.32]  this is your first time, please write to
[00:16.48]  me in the comments. Tell me your name.
[00:18.48]  Tell me where you're from. Love hearing
[00:20.32]  from new people. And even now, if you're
[00:22.32]  joining me live, you can write your name
[00:24.88]  uh where you're from in the chat. It's
[00:27.12]  also great to see so many familiar
[00:29.04]  faces. Um, today uh because I will give
[00:33.20]  some shoutouts as we go through the
[00:35.20]  lesson. Today is more of a vocabulary
[00:37.92]  lesson because what we're going to talk
[00:40.16]  about uh we're going to talk about
[00:42.56]  confusing words in English. And as you
[00:45.36]  can see, it says it is a quiz lesson.
[00:48.48]  So, I'm going to give you some different
[00:50.32]  sentences um with some confusing words.
[00:54.08]  And I'm just going to have you choose
[00:56.00]  which word best completes the sentence.
[00:58.56]  So, it's really testing your knowledge
[01:01.52]  on the vocabulary that you may already
[01:04.24]  know, which is great practice. But
[01:06.56]  before we jump in uh and begin, just
[01:09.20]  want to say quick hello Angela. Yes sir.
[01:12.24]  Uh welcome Lai. Great to see you again.
[01:15.20]  Teao, hi, how are you? Um Suana Amit, uh
[01:20.32]  Nun Kushnik, hello from India.
[01:22.96]  Excellent, Maria Teresa. Good to see you
[01:25.20]  again. Excellent. Um, and I keep saying
[01:27.76]  it. Excellent. Excellent. I'm so happy
[01:29.68]  uh to see all of you guys today. So,
[01:33.52]  we're going to go through this and I
[01:36.48]  I'll give you an opportunity to practice
[01:39.68]  and tell me which word you think uh best
[01:42.56]  completes the sentence. Of course, I
[01:44.72]  will then tell you what the answer is
[01:46.88]  and talk to you about a little bit about
[01:48.88]  the difference between these words. So
[01:51.28]  this is it's a good way to build your
[01:53.44]  vocabulary but also your overall fluency
[01:56.64]  because these are words that learners
