Title     : Useful Phrasal Verbs with GET 👍  | Vocabulary Lesson
Video ID  : hAtgXJ7YxOc
URL       : https://www.youtube.com/watch?v=hAtgXJ7YxOc
Language  : English (en)
Generated : No (manually created)
Snippets  : 128
Saved at  : 2026-06-05 09:51:50
------------------------------------------------------------

[00:00.24]  Today, we are going to talk to you about
[00:02.80]  three different phrasal verbs and their
[00:04.92]  different meanings with...
[00:16.44]  Hello and welcome to our global classroom.
[00:19.32]  We have an amazing lesson for you today on phrasal verbs.
[00:23.04]  But first I'd like to remind you to
[00:25.30]  join our social media classes. It is a great way to
[00:28.46]  practice and improve your English skills.
[00:31.36]  Phrasal verbs can be challenging for learners of all levels.
[00:35.64]  And this is because one phrasal verb
[00:38.82]  might have several different meanings.
[00:41.44]  Such as the ones we will talk about today.
[00:44.30]  And it's usually the preposition that
[00:46.84]  follows the verb that trips people up.
[00:49.62]  But hopefully after this lesson, you will have
[00:52.04]  a better understanding of these three phrasal verbs.
[00:56.28]  And feel a little more confident
[00:58.10]  using them in conversation or writing.
[01:01.36]  One thing to note about these phrasal verbs
[01:04.34]  is that they are inseparable.
[01:06.82]  And that just means that the object
[01:09.30]  that follows the phrasal verb
[01:11.30]  cannot go between the verb and the preposition.
[01:15.36]  They must stay together just as they are right now.
[01:18.60]  So we're going to tell you how each of these
[01:20.74]  phrasal verbs is used, give you the meaning,
[01:23.46]  and some example sentences.
[01:25.28]  And at the end we'll do a practice.
[01:27.04]  So let's begin.
[01:28.42]  First, let's begin with GET UP.
[01:31.22]  This phrasal verb has two meanings.
[01:33.70]  The one that you may already be familiar with
[01:36.54]  is to arise from bed and get to your feet.
[01:40.12]  Don't confuse this with "wake up"
[01:42.30]  which is the moment when you stop sleeping
[01:45.06]  and open your eyes.
[01:46.46]  GET UP is when you physically get out of bed in the morning.
[01:50.38]  Me...personally, in the morning
[01:53.76]  and then I just spend, you know,
[01:55.52]  10 or 15 minutes in bed
[01:58.30]  and then I get up.
[01:59.62]  So a common way to use this phrasal verb is...
[02:09.30]  Another meaning of GET UP is
[02:11.22]  "to climb or be elevated to a higher position."
[02:15.02]  So if I'm down here, maybe I need to get up there.
[02:23.46]  The next phrasal verb I'd like to teach you
[02:25.72]  is GET AWAY.
[02:27.60]  This means to "move away from something or someone."
[02:31.12]  Many times this phrasal verb is used in
[02:33.78]  imperative sentences when someone gives a command.
[02:41.38]  GET AWAY can also mean "to leave or escape."
[02:44.62]  And this could be used literally or figuratively.
[02:56.66]  We can also add "with" to "get away"
[02:59.24]  and then we have a three-word phrasal verb.
[03:01.62]  GET AWAY WITH
[03:02.76]  This has a slightly different meaning
[03:05.04]  which is "to escape the consequences of something."
[03:08.14]  Maybe you do something bad and someone tells you...
[03:19.54]  The final phrasal verb I'd like to look at is
[03:22.50]  GET OVER
[03:24.00]  This means "to recover from something."
[03:26.00]  Usually an injury or illness and return
[03:29.64]  to your normal state of health.
[03:37.18]  GET OVER also means
[03:38.46]  "to overcome a situation or an issue that is causing problems."
[03:55.94]  We hope you have a better understanding of those
[03:58.24]  three phrasal verbs, but now we'd like to
[04:00.90]  practice what we've learned.
[04:02.54]  So this is going to be a
[04:04.58]  listening comprehension activity.
[04:06.96]  I'm going to say a sentence without the phrasal verb.
[04:11.12]  And I want you to point to the correct
[04:13.74]  phrasal verb that completes the sentence.
[04:16.68]  I'm going to say each sentence twice
[04:19.20]  and then I will reveal the answer.
[04:21.62]  Let's begin!
[04:23.16]  Number 1 - Ioana is so tired.
[04:27.06]  What time did she _____ this morning?
[04:29.40]  Ioana is so tired.
[04:31.98]  What time did she _____ this morning?
[04:34.38]  The answer is GET UP.
[04:36.62]  We are talking about getting out of bed
[04:39.04]  and getting on your feet.
[04:40.72]  So you should have pointed at GET UP.
[04:43.98]  Number 2 - I'm so sad.
[04:47.00]  I can't _____ the fact that I lost my job.
[04:51.46]  I'm so sad.
[04:52.88]  I can't _____ the fact that I lost my job.
[04:56.68]  In this sentence, we're talking about
[04:58.90]  overcoming an issue, so the answer is GET OVER.
[05:03.44]  Number 3 - My little brother is always bothering me.
[05:07.60]  And I can't seem to _____ from him.
[05:11.40]  My little brother is always bothering me.
[05:14.00]  But I can't seem to _____ from him.
[05:16.96]  The answer is GET AWAY.
[05:19.18]  In this sentence, we're talking about
[05:21.50]  putting distance between me and my little brother.
[05:25.82]  Number 4 - I don't how the cat was able to _____ there.
[05:31.28]  I don't how the cat was able to _____ there.
[05:35.00]  We're talking about the cat being in a higher
[05:37.98]  or elevated position.
[05:39.80]  So the answer is GET UP.
[05:42.40]  Number 5 - They've been working really hard lately
[05:45.90]  so they decided to _____ for a few days and go to the beach.
[05:50.78]  They've been working really hard lately so they
[05:53.34]  decided to _____ for a few days and go to the beach.
