Title     : are you outta your mind?!  #shorts #englishlesson #englishphrase #connectedspeech
Video ID  : VxE9vwxdW7E
URL       : https://www.youtube.com/watch?v=VxE9vwxdW7E
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 22
Saved at  : 2026-06-05 17:19:15
------------------------------------------------------------

[00:00.16]  are you out of your mind who asks
[00:02.32]  someone if they are
[00:03.44]  out of their mind or you can say it
[00:06.08]  quickly as
[00:07.04]  out of their mind out of their mind are
[00:09.36]  you out of your mind
[00:10.72]  it means are they crazy or are they
[00:12.72]  making a crazy decision
[00:14.32]  are you out of your mind you're going to
[00:16.72]  a concert during a pandemic
[00:18.48]  you would have to be out of your mind to
[00:20.80]  pay 100
[00:22.00]  for a plain white t-shirt when something
[00:24.32]  makes you feel
[00:25.12]  crazy or annoyed you can say it makes
[00:27.68]  you feel out of your mind like if you
[00:29.36]  have to work for 12 hours you're gonna
[00:30.96]  be out of your mind
[00:32.16]  so give me an example of something that
[00:33.92]  makes you feel crazy or annoyed
[00:36.24]  it makes you feel out of your mind let's
[00:38.96]  practice english
