Title     : Stop Translating in Your Head ❌  | Start Thinking in English ✅
Video ID  : C1BguLyBieA
URL       : https://www.youtube.com/watch?v=C1BguLyBieA
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 365
Saved at  : 2026-06-05 08:14:02
------------------------------------------------------------

[00:00.04]  when you're learning English I think
[00:01.40]  it's natural to translate from your
[00:03.52]  native language to English but this is
[00:06.32]  something that that you should really
[00:07.64]  try to avoid As you move from a beginner
[00:10.20]  to intermediate to an advanced learner
[00:12.52]  and really it it just comes down to
[00:14.76]  developing positive learning habits so I
[00:17.72]  want to talk to you about five things
[00:19.76]  that I want you to to start doing today
[00:22.36]  so that you can stop translating and
[00:24.72]  start thinking in English the first
[00:26.92]  thing that I want you to do is to create
[00:29.64]  an English bubble after that I want you
[00:32.80]  to keep your learning routines in
[00:35.52]  English and then we're going to change
[00:38.56]  the way that you learn new vocabulary
[00:41.64]  we're also going to start automating
[00:43.44]  some of your responses and then we're
[00:45.92]  going to turn thinking into Active
[00:49.04]  Learning and I I know what you may be
[00:51.08]  thinking right now I should subscribe to
[00:54.16]  this channel turn on notifications and
[00:56.44]  then that way I can become your new
[00:59.32]  English teacher
[01:00.44]  my name is Wes the Channel interactive
[01:02.32]  English that that's what it's all about
[01:04.04]  it's all about helping you improve your
[01:06.16]  English skills so the first thing that I
[01:07.76]  want you to do and I want you to do this
[01:09.72]  today and really we start doing it is to
[01:12.12]  create an English bubble and what I'm
[01:14.40]  talking about is just surrounding
[01:16.88]  yourself with the English language and
[01:19.28]  getting as much exposure as you possibly
[01:21.96]  can so take a moment right now and think
[01:24.92]  about well how much exposure do you
[01:27.60]  normally get to the English language
[01:30.00]  each day and what whatever you come up
[01:32.24]  with I want you to try to double that
[01:34.64]  and make that bubble even stronger
[01:37.12]  because when you do this it's like
[01:39.48]  you're building the foundation you're
[01:41.32]  creating an atmosphere that's going to
[01:44.04]  allow you to translate less and start
[01:47.24]  thinking more so this is why many people
[01:49.72]  think well I I need to go live in an
[01:52.04]  English-speaking country and that's
[01:53.96]  going to help me learn the language
[01:56.08]  faster and it's going to be easier as
[01:58.04]  well because they think well I'm going
[02:00.08]  to be surrounded by the language
[02:02.68]  thankfully today it it's not necessary
[02:05.24]  because of Technology because of
