Title     : VERB TENSE QUIZ 📝  | Advanced Grammar Lesson
Video ID  : Lp01IpEZlL4
URL       : https://www.youtube.com/watch?v=Lp01IpEZlL4
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 702
Saved at  : 2026-06-05 10:21:48
------------------------------------------------------------

[00:00.16]  hey everyone welcome to today's lesson
[00:03.68]  my name is wes and this is interactive
[00:06.56]  english
[00:07.12]  and in case this is your first time here
[00:09.36]  the channel
[00:10.24]  it's just all about trying to help you
[00:11.92]  practice and improve your english skills
[00:14.56]  such as with these interactive live
[00:16.96]  lessons that i hope
[00:18.64]  uh all of you are going to participate
[00:20.88]  in today's lesson
[00:22.32]  because i have a little bit of a quiz
[00:24.40]  for you it's actually
[00:26.08]  uh i guess you could say it's a grammar
[00:27.92]  quiz because we're going to be talking
[00:30.16]  about
[00:30.64]  verb tenses and i have some sentences
[00:33.52]  that i'm going to give you
[00:34.88]  with some blank spaces and all i want
[00:37.44]  you to do is fill
[00:38.72]  in the correct verb tense so that is the
[00:41.04]  way we're going to practice in today's
[00:42.96]  lesson
[00:43.52]  and i want you to write all of your
[00:45.44]  answers in the chat
[00:47.04]  participate in the lesson even if you're
[00:49.84]  watching this
[00:50.72]  later on next year it doesn't matter you
[00:54.08]  can still participate
[00:55.76]  use the comments section as like your
[00:58.16]  piece of paper
[00:59.04]  and write your answers in the comment
[01:01.68]  section so today
[01:03.36]  it is it is a verb tense quiz
[01:06.48]  that's what we're going to be doing in
[01:08.24]  today's lesson
[01:09.68]  before we start i do want to give a
[01:12.24]  couple of shout outs to everybody who's
[01:14.24]  here with me
[01:15.36]  live today hello uh lolly as always
[01:19.60]  great to see you angela sleepwalker
[01:22.40]  thanks for joining me
[01:23.60]  um althea let's see anar
[01:27.52]  going through names as i see them
[01:30.72]  uh yashar peter
[01:34.56]  rosalinda as i go through i'm gonna ask
[01:37.12]  you guys questions i'll give some more
[01:39.12]  shout outs later on as you're giving the
[01:42.32]  right answers as you if you give the
[01:43.84]  right answers
[01:44.88]  uh katrudas hello how are you welcome so
[01:49.36]  let's just look at our very first
[01:51.28]  question and again
[01:52.88]  this is all about verb tenses i'm gonna
[01:55.52]  give you a sentence with the blank
[01:57.44]  i want you to to write the correct
[02:00.64]  verb tense i'm also go i'll tell you the
[02:02.64]  verb as well
[02:03.84]  and i'll give you a little bit of a hint
[02:06.56]  so
[02:06.96]  here's the first one it's going to get
