Title     : Value & Engagement
Video ID  : C2XZ2z4YJqs
URL       : https://www.youtube.com/watch?v=C2XZ2z4YJqs
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 31
Saved at  : 2026-06-21 00:23:00
------------------------------------------------------------

[00:00.00]  [Music]
[00:04.07]  the more you focus on revenue the worse
[00:07.92]  off you will be and what you should
[00:09.33]  focus on first is value and engagement
[00:12.33]  really and deeply understand the value
[00:15.06]  that you're providing to your customers
[00:16.95]  make sure that you are clear on what
[00:18.90]  that is make sure it's super compelling
[00:20.52]  to your customers measure it and get
[00:22.29]  better and better at doing that and then
[00:24.36]  on the engagement side make sure that
[00:25.86]  people are actively using your product
[00:27.87]  and make sure that kind of every
[00:29.82]  constituent if you're in a market place
[00:31.20]  make sure you've got both sides using
[00:32.88]  your product or service so value and
[00:35.28]  active engagement and then revenue will
[00:37.38]  come interesting so then the sort of the
[00:40.35]  paradox of overly focusing on revenue
[00:42.42]  first can drive wrong behavior as
[00:44.37]  opposed to usage and retention will take
[00:46.71]  you on the journey that the monetize if
[00:48.54]  you just focus on the revenue side you
[00:50.01]  can end up in kind of a hamster wheel
[00:51.54]  situation where you're just trying to do
[00:53.25]  everything to kind of squeeze a little
[00:55.08]  bit more water out of whatever situation
[00:57.63]  you're in versus actually focusing on
[01:00.06]  the long term growth driver which is a
[01:01.62]  round value
[01:03.05]  [Music]
