Title     : Speak Like a Native 💬  Powerful Vocabulary You Should Know
Video ID  : tQXQuxEgWUo
URL       : https://www.youtube.com/watch?v=tQXQuxEgWUo
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 1189
Saved at  : 2026-06-05 07:37:01
------------------------------------------------------------

[00:00.00]  Let's learn some powerful words. I'm
[00:02.40]  talking about some powerful nouns,
[00:04.64]  verbs, adjectives, adverbs that are
[00:07.52]  really going to help you build your
[00:09.32]  vocabulary. And I think this This is, of
[00:12.56]  course, vocabulary you need to know.
[00:14.48]  It's going to help both your listening
[00:16.56]  comprehension as well as your speaking
[00:19.08]  fluency. And if you are someone who
[00:21.40]  would like to build your vocabulary,
[00:23.20]  please subscribe, turn on notifications.
[00:25.68]  That way I can become your teacher. My
[00:28.40]  name is West. The channel is Interactive
[00:30.36]  English. It is all about helping you
[00:32.72]  reach your fluency goal. So, let's go
[00:35.24]  ahead and jump into it, and we're going
[00:37.04]  to start out with some powerful verbs,
[00:40.32]  such as allude. To allude just means to
[00:43.84]  make an indirect reference or just hint
[00:47.24]  at something. I'm giving you an example
[00:49.16]  sentence down below. During the
[00:51.48]  presentation, the speaker briefly
[00:54.12]  alluded to the company's past mistakes
[00:57.16]  without going into details. So, whenever
[01:00.44]  you want to avoid going into details,
[01:03.32]  but still talk about something, you may
[01:05.04]  allude to it. The next verb is to
[01:08.48]  exacerbate. To exacerbate something
[01:11.48]  means to make something worse. Really,
[01:14.48]  we're talking about a problem, a bad
[01:16.36]  situation, a negative feeling. So, this
[01:19.76]  It really does have more of a negative
[01:21.76]  connotation.
[01:23.36]  Uh here's an example. Constant delays
[01:26.52]  and poor communication only serve to
[01:29.32]  exacerbate the team's frustration. So,
[01:33.00]  great verb whenever you want to
[01:35.28]  emphasize that, well, something is
[01:38.12]  becoming worse, and you are exacerbating
[01:41.16]  a problem or situation.
[01:43.40]  Now, to really help you jump-start your
[01:45.88]  vocabulary, I want to share with you
[01:47.64]  some common collocations with this verb.
[01:50.92]  This is These are some verb-noun
[01:52.60]  collocations. I've already mentioned to
[01:54.52]  exacerbate a problem, to exacerbate a
[01:57.12]  situation, you could also exacerbate a
[01:59.56]  decline, or exacerbate poverty,
[02:02.12]  exacerbate a shortage, or even
[02:03.96]  exacerbate a symptom. But, in all of
[02:06.72]  these instances, again, it really does
[02:08.64]  have more of a negative connotation.
[02:11.52]  Then, there's the verb to reiterate.
[02:14.04]  This is a verb that I really like,
[02:15.96]  mostly because I do this quite often,
[02:17.76]  but it just means to say something
[02:20.20]  again, or a number of times, typically
[02:23.24]  for emphasis or clarity. Let me
[02:25.88]  reiterate my main point. We must act
[02:29.04]  immediately if we want to meet the
[02:31.40]  deadline. So, I said I like it because I
[02:34.24]  think quite often, as a as a teacher, I
[02:37.88]  constantly want to either will emphasize
[02:40.56]  something, make something clear, so I am
[02:42.56]  going to reiterate and say it again, and
[02:45.48]  bring it back up, because that is one of
[02:47.72]  the best ways to learn is just
[02:49.28]  constantly review, get exposure, and as
[02:52.24]  we go through the lesson, I am going to
[02:54.04]  try to reiterate many of these words,
[02:57.20]  just so you can just hear how they're
[02:59.04]  used in context. This is something that
[03:01.12]  I think every teacher should constantly
[03:03.32]  do and just reiterate the information
[03:05.68]  that they would like others to learn.
[03:08.60]  Then, there's to undermine. This means
[03:11.60]  to lessen the effectiveness, power, or
[03:14.80]  ability of uh especially gradually or
[03:18.08]  insidiously.
[03:19.68]  And if you're unfamiliar with
[03:20.96]  insidiously, it means that you really
[03:23.72]  are just
[03:25.24]  doing this in a more real like negative
[03:29.24]  and spiteful way.
[03:32.24]  You are undermining someone. So, this is
[03:34.48]  not good. It has a negative connotation.
[03:37.36]  Spreading false rumors can seriously
[03:40.00]  undermine someone's credibility in the
[03:42.60]  workplace, and that is true. It is not
[03:44.84]  good if somebody is undermining you, and
[03:47.48]  it's also not good if you are
[03:49.32]  undermining another person. I just
[03:51.68]  thought this was humorous. You know I
[03:53.28]  like to share it with you from time to
[03:54.80]  time. Your power nap is somewhat
[03:57.52]  undermined by Mr. Cuddles. So, yeah, you
[04:00.84]  had that stuffed animal. It really
[04:02.32]  doesn't feel like a power nap, unlike
[04:05.28]  unlike these powerful words that I'm
[04:07.40]  teaching you right now. Then there's to
[04:09.80]  concede. Whenever you concede, it just
[04:12.76]  means you admit or agree that something
[04:15.36]  is true after first denying or resisting
[04:18.52]  it. And you are conceding that well, you
[04:22.08]  were wrong or that you made a mistake
[04:24.76]  and really it is true after all. The
[04:27.88]  manager conceded that mistakes were made
[04:31.48]  during the project. So, I I feel like
[04:34.56]  this is a good thing whenever someone is
[04:37.20]  willing to concede something and you
[04:39.96]  admit that you're wrong or that the
[04:42.52]  other person is right. It's a great way
[04:44.60]  to work towards compromise if people are
[04:47.64]  willing to concede, especially if
[04:50.24]  they're wrong.
[04:51.36]  To mitigate.
[04:52.96]  This means to make well, to make
[04:55.28]  something bad less severe, less serious,
[04:58.68]  less painful and you are trying to
[05:01.20]  mitigate something.
[05:03.44]  Taking breaks throughout the day can
[05:05.44]  help mitigate stress. That is a great
[05:07.96]  collocation because of course there are
[05:10.04]  many things in our lives that we would
[05:12.44]  like to mitigate and you want to make it
[05:15.28]  less severe or less painful. Once again,
[05:18.32]  here are some useful collocations with
[05:21.36]  this verb. Mitigate stress, mitigate
[05:24.32]  damage, mitigate a threat, maybe you
[05:26.48]  want to mitigate the impact of something
[05:28.36]  or mitigate the consequences or even
[05:30.56]  mitigate a loss. Great verb to know.
[05:34.40]  This is another great verb to know, to
[05:36.16]  compel. When you try to compel someone,
[05:40.36]  probably to do something, you are
[05:42.12]  forcing or just strongly persuading
[05:44.96]  someone to do something. The evidence
[05:47.84]  was so strong that it compelled the jury
[05:51.12]  to reach a quick verdict. And they were
[05:54.84]  well, they were compelled to come up
[05:57.12]  with a verdict quickly because yeah, you
[05:58.84]  just really had strong evidence.
[06:01.56]  How about refrain? Whenever you refrain
[06:04.72]  from doing something, you just stop
[06:06.28]  yourself from doing it.
[06:08.44]  Please refrain from using your phone
[06:10.92]  during the presentation. I think people
[06:13.72]  should always refrain from using phones
[06:16.56]  during presentations, whatever they're
[06:18.20]  at the movies or even a concert. And
[06:20.92]  often you're going to follow this verb
[06:23.08]  with the preposition from and then a
[06:25.44]  gerund. Refrain from doing something.
[06:28.92]  Just keep that in mind.
[06:31.44]  Here is a
[06:33.36]  another fun uh thing that I pulled off
[06:36.32]  the internet. So this was a sign at a
[06:38.12]  bowling alley.
[06:39.68]  Due to the coronavirus, refrain from
[06:42.48]  touching other people's balls. Please
[06:44.56]  remember to wash your hands after
[06:46.52]  touching your own balls. Thank you. I
[06:49.20]  imagine they this
[06:51.56]  this was meant to be funny.
[06:53.56]  Just wash your hand after touching your
[06:55.04]  own. Okay, let's let's continue.
[06:57.12]  To differ.
[06:58.72]  This means to put off to a later time.
[07:01.76]  So you're probably putting off some
[07:03.56]  action or event. In general, it just
[07:05.88]  means to postpone something.
[07:08.40]  He chose to defer his university
[07:10.88]  application for a year.
[07:13.64]  Here are some more collocations. These
[07:16.64]  are words that are frequently used
[07:18.48]  together that you're going to hear
[07:20.28]  whenever we're talking about the verb
[07:22.00]  differ. You might defer a decision and
[07:24.96]  then follow that with either for or
[07:27.12]  until. So you may defer a decision for a
[07:30.24]  period of time. We're going to defer
[07:32.56]  that decision for a couple of weeks. Or
[07:35.12]  you're going to defer a decision until
[07:37.28]  like a point in time. We're going to
[07:39.24]  defer that until tomorrow.
[07:42.08]  You could also defer payment, or defer
[07:44.16]  work, defer a discussion, defer entry,
[07:47.20]  as well as defer responsibility.
[07:50.36]  How about endorse? This is another
[07:53.28]  useful verb to add to your passive
[07:56.76]  vocabulary and then hopefully start
[07:58.40]  using it over time, make it a part of
[08:00.40]  your active vocabulary. When you endorse
[08:03.56]  someone or something, you make a public
[08:05.80]  statement of your approval or support
[08:08.68]  for something or someone.
[08:10.84]  She refused to endorse a plan she didn't
[08:14.68]  fully support. And in this case, she did
[08:17.76]  not endorse it and come out publicly and
[08:20.08]  say, "Yes, I am for this thing." So, you
[08:22.96]  could endorse someone or something.
[08:26.36]  Here is a an example because on
[08:29.72]  LinkedIn,
[08:31.08]  I don't know if they still do it
[08:32.20]  nowadays and you could endorse someone's
[08:34.68]  credentials, somebody you know and say,
[08:36.56]  "Yes, they have this skill, whether it's
[08:39.72]  programming or presenting."
[08:42.28]  Here is me me and the boys after
[08:44.84]  endorsing each other's skills on
[08:46.88]  LinkedIn. I don't know if this is uh
[08:49.72]  from play beat maybe North Korea. They
[08:52.08]  have all this these badges on in the
[08:54.24]  military, but yes, they really really
[08:56.24]  did endorse each other's skills in this
[08:59.04]  case.
[09:00.40]  How about assert? This means to state a
[09:03.36]  fact or belief confidently, positively,
[09:06.56]  or forcefully, and you assert something.
[09:09.48]  He asserted his authority during the
[09:11.92]  negotiations. So, whenever you assert
[09:14.28]  something, you're you're really stating
[09:16.60]  it in a confident way.
[09:19.40]  Here are some other collocations. You
[09:22.12]  could assert your rights, assert your
[09:25.28]  innocence, assert your authority, like
[09:27.64]  in our example sentence, assert your
[09:29.80]  control, assert your dominance, or even
[09:32.44]  assert your independence. These are some
[09:35.48]  phrases that you will likely come across
[09:38.56]  whenever we're talking about the verb
[09:40.72]  assert. Now, here is another verb that
[09:44.40]  is somewhat similar, but still a little
[09:47.12]  different. There's a slight nuance. To
[09:49.28]  contend. To contend means, well, here it
[09:52.76]  is, to assert something as a position in
[09:56.20]  an argument. And that's the distinction
[09:58.36]  that I want to make.
[09:59.92]  Here's an example. Some analysts contend
[10:03.36]  that the market will recover quickly.
[10:05.88]  So, whenever you contend something,
