Title     : Avoid Saying ...UM...ER...UH 🚫  #interactiveenglish #shorts
Video ID  : xkqtBMN6dMA
URL       : https://www.youtube.com/watch?v=xkqtBMN6dMA
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 25
Saved at  : 2026-06-05 11:00:34
------------------------------------------------------------

[00:00.12]  guys I think it's important that you try
[00:02.64]  to avoid using some of those nasty
[00:04.98]  filler words like uh
[00:09.24]  um now these utterances are natural when
[00:11.46]  you're having a conversation but you
[00:13.14]  don't want to use them too much and
[00:15.66]  maybe try to minimize their use so
[00:18.18]  instead of using those Crush words and
[00:19.80]  try to buy yourself a little more time
[00:21.66]  to come up with that word or sentence
[00:23.70]  you could say how can I say this or just
[00:27.42]  tell someone directly I need a moment to
[00:30.30]  think about this or you could even just
[00:32.10]  go ahead and introduce your thought by
[00:34.38]  saying and what I was going to say is
[00:37.50]  and then if you just can't think of that
[00:39.36]  word or phrase you could tell someone
[00:41.36]  I'm drawing a blank or you could say oh
[00:44.64]  it's it's on the tip of my tongue and if
[00:46.98]  you completely forgot whatever it is
[00:49.20]  that you were talking about just let
[00:51.36]  them know yeah I I just lost my train of
[00:54.96]  thought
[00:55.98]  and
[00:57.96]  what was it that I was teaching you
