Title     : What's the most difficult language skill to learn?  | Natural Conversation + Vocabulary
Video ID  : ZBqGjxfiwvU
URL       : https://www.youtube.com/watch?v=ZBqGjxfiwvU
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 200
Saved at  : 2026-06-05 09:30:05
------------------------------------------------------------

[00:00.00]  If you'd like to improve your listening
[00:01.64]  skills, then today's lesson will help
[00:03.32]  because we're going to have you listen
[00:05.00]  to a natural English conversation.
[00:15.32]  So, some of you have asked us that to
[00:17.96]  practice your listening skills, you
[00:19.48]  would like to hear a natural
[00:21.52]  conversation or just hear us speaking
[00:24.24]  about a topic in general. So, that's
[00:26.36]  what we've done today. We've chosen a
[00:28.08]  topic and you guys are just going to
[00:30.00]  listen to us talking about it. And
[00:31.84]  you're not only going to listen to the
[00:32.96]  conversation, but you're also going to
[00:34.56]  see if you can try to identify some
[00:36.76]  vocabulary words that I'm going to go
[00:38.48]  over with you right now. These are just
[00:40.48]  random words that I've taken from the
[00:42.16]  conversation and I'm going to tell you
[00:44.00]  the meaning. you're listening to the
[00:45.64]  conversation, we're going to show you
[00:47.32]  where they're at so that you can get a
[00:48.84]  feel for how these words are used in
[00:50.60]  context. So, the first word that I want
[00:53.00]  to talk to you about is a verb and that
[00:54.64]  is to defer. And usually you would use
[00:56.96]  it that you defer to someone else, to
[00:59.80]  defer to someone. And that means to
[01:02.08]  delay or put off until a later time in
[01:05.32]  the future. To defer to someone. The
[01:08.08]  next word
[01:09.64]  and it's it's one that I use from time
[01:12.28]  to time and it's more slang is just
[01:14.44]  crap. If you say, you know, something,
[01:16.64]  oh, that that's crap. When you say that,
[01:18.96]  you mean that that's just it's it's
[01:21.36]  ridiculous, it's absurd, it's an
[01:23.36]  exaggeration, it's a falsehood, it's
[01:25.40]  nonsense, it's crap. Then we have the
[01:28.52]  phrasal verb tune out. So, you can you
[01:31.28]  can tune out something or you could even
[01:33.68]  tune someone out. And when you when you
[01:36.36]  tune out, you basically you stop
[01:38.44]  listening and you stop paying attention
[01:40.80]  to what's going on and you're just off
[01:44.84]  in your own in your own mind and you
[01:47.72]  just tune out. Another great word is
[01:50.56]  eavesdrop. It's a verb, so you'd say to
[01:53.52]  eavesdrop. And it's often followed by
[01:55.88]  the preposition on, to eavesdrop on
[01:58.84]  someone. And it means to listen secretly
[02:01.96]  to a private conversation or to listen
[02:05.16]  secretly to a conversation that you just
[02:08.48]  you shouldn't be listening to. You have
[02:09.80]  no business listening to this
[02:11.28]  conversation. You are eavesdropping.
[02:14.72]  Next is an expression rub it in. And you
[02:18.84]  could you could rub it in or just say,
[02:20.92]  you know, rub something in. And when you
[02:23.24]  rub it in, you are drawing somebody's
[02:26.04]  attention to an embarrassing fact or
[02:28.68]  mistake. And you're you're basically
[02:31.60]  highlighting this embarrassing moment
[02:34.28]  when somebody doesn't want to hear it,
[02:35.80]  they don't want to listen to it and they
[02:37.08]  might say, you know, don't don't rub it
[02:38.72]  in or, you know, do you have to rub it
[02:40.36]  in? Stop rubbing it in. Then we have
[02:43.52]  reserved. And this is an adjective which
[02:46.04]  means that if somebody is reserved, it
[02:49.16]  means they're slow to reveal their
[02:51.76]  emotions or opinions. They're basic it's
[02:53.96]  basically saying that somebody is shy.
[02:56.40]  So, as you're listening to our
[02:57.68]  conversation and listening to us talk
[02:59.88]  about this topic, keep an eye out for
[03:02.00]  these words and again we'll highlight
[03:04.12]  them for you so that you can see how
[03:06.20]  they're used in context. Let's begin.
[03:09.20]  All right, so Hi.
[03:11.88]  what we want to talk about right now,
[03:13.92]  what what we think is the most difficult
[03:17.76]  skill when it comes to learning a
[03:19.80]  language. So, I will defer to you
[03:25.00]  first.
[03:26.32]  And
[03:27.36]  what do you think when you're learning
[03:28.60]  another language,
[03:30.12]  um, any language, what's
[03:31.84]  what's the most challenging thing for
[03:33.24]  you when it comes to learning another
[03:34.88]  language?
[03:36.08]  Uh, you know, I think it depends on the
[03:37.80]  language, which is weird,
[03:40.00]  because for me it does. Like I
[03:43.04]  Why don't you talk cuz I don't have an
[03:45.08]  answer right now.
[03:47.00]  Have to think about it.
[03:48.72]  Okay. All right. Um
[03:51.48]  It's okay. I would say for me the most
[03:54.32]  difficult language skill is, well, I
[03:56.84]  think by far is listening. Which I think
[03:59.88]  is surprising because I think for many
[04:01.72]  people out there, well, exactly. I think
[04:03.52]  for many people like, oh, that's the
[04:05.04]  easiest. But
[04:07.32]  for some reason my my listening's crap.
[04:11.12]  I feel like when I was learning Spanish
[04:13.80]  or even when I was learning Korean
[04:16.40]  it's so easy for me to tune out. And
[04:19.60]  actually like when I'm in a conversation
[04:22.04]  or with a group of people are talking
[04:24.12]  and I'm focusing like, okay, yes, I know
[04:26.44]  I know what's going on. I'm listening to
[04:28.08]  the conversation and then all of a
[04:29.84]  sudden I I I lose focus and and then I
[04:33.08]  try to jump back into the conversation
[04:35.36]  and start listening again, but by by
[04:37.24]  that point I've I've kind of I'm lost.
[04:41.32]  I've kind of forgotten about where we
[04:43.56]  are at in the conversation and what
[04:45.08]  people are talking about. Maybe I need
[04:46.68]  to try and focus a little more on on
[04:48.96]  what's happening
[04:50.56]  in the conversation, but
[04:52.64]  it's always been a challenge for me. I
[04:54.72]  think it is
[04:57.00]  better than some of my other language
[04:58.72]  skills, but at the same time I feel like
[05:00.72]  listen my listening should be
[05:03.08]  better than than what it is if I'm
