Title     : Practice English conversation for free  | Exercise vocabulary #speakenglish #englishconversation
Video ID  : UI9rZ4P0QGc
URL       : https://www.youtube.com/watch?v=UI9rZ4P0QGc
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 355
Saved at  : 2026-06-05 16:08:02
------------------------------------------------------------

[00:00.00]  hey friends welcome to today's english
[00:02.00]  lesson today
[00:03.44]  lesson is a english conversation lesson
[00:06.72]  and i hope that you actually speak out
[00:08.88]  loud with me in today's english lesson
[00:11.04]  we are going for a run together well
[00:14.16]  we're talking about it at least so
[00:16.00]  you'll learn some new exercise
[00:17.60]  vocabulary and some natural english
[00:19.44]  phrases that will help you speak english
[00:22.56]  like a native in today's lesson i'll
[00:24.64]  explain the vocabulary we'll listen to
[00:26.96]  the english conversation so that you
[00:28.80]  actually understand
[00:30.48]  the full conversation and then you'll
[00:32.24]  have a chance to practice
[00:34.00]  both roles of the conversation so i like
[00:36.40]  to break the rules down to roll a and
[00:39.04]  roll b so we'll switch off so let's get
[00:41.44]  started with today's lesson first listen
[00:43.84]  to today's full conversation and then
[00:46.08]  we'll practice speaking
[00:48.72]  hey i'm going out for a run do you want
[00:50.40]  to join me
[00:52.08]  i'm really out of shape
[00:53.92]  come on we'll go slow it's a great
[00:56.16]  chance for you to get some exercise i
[00:58.56]  just ate a ton
[01:01.68]  excuses excuses
[01:04.08]  how about if i wait an hour then will
[01:06.00]  you come fair enough
[01:08.00]  how many miles are we going for
[01:10.40]  let's start with two and see how we feel
[01:13.28]  ready to go
[01:14.80]  yeah but can we warm up first
[01:17.04]  sure
[01:17.92]  do some light stretches
[01:19.92]  i don't want to pull a hammy smart
[01:22.72]  when's the last time we went for a run
[01:24.32]  together it's been forever in a day well
[01:26.80]  i'm excited let's hit it wait let me get
[01:29.52]  my playlist set i have to get into the
[01:31.60]  zone so i can have a good run okay
[01:34.24]  listening practice is over now it's your
[01:37.36]  turn to speak with me
[01:38.96]  i will be role a and you will be role b
[01:41.76]  so i will speak first and you will speak
[01:44.48]  second
[01:45.52]  make sure to speak out loud while
[01:46.96]  reading the words on screen this is a
[01:49.36]  great way to practice speaking english
[01:51.36]  fluently and increasing your confidence
[01:55.84]  hey i'm going out for a run do you want
[01:57.52]  to join me
[02:03.84]  come on we'll go slow it's a great
[02:06.08]  chance for you to get some exercise
[02:12.48]  excuses excuses
[02:14.96]  how about if i wait an hour then will
[02:16.80]  you come
[02:20.64]  how many miles are we going for
[02:26.40]  let's study a bit of the vocabulary in
[02:28.88]  today's conversation before we practice
[02:31.28]  it again let's talk about what it means
[02:33.76]  to go out
[02:35.68]  for a run or go out for a walk go out
[02:39.12]  for a swim
[02:40.64]  go out for a ride you would never say go
[02:43.84]  out for a bike you would have to say go
[02:45.60]  out for a ride when you're using these
[02:48.40]  sort of verbs you will say i will go out
