Title     : ADVANCED FLYING VOCABULARY  ✈️  | Words & phrases you need to know
Video ID  : MTGvqz4wOAE
URL       : https://www.youtube.com/watch?v=MTGvqz4wOAE
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 697
Saved at  : 2026-06-05 10:08:01
------------------------------------------------------------

[00:00.16]  hello and welcome to today's lesson we
[00:03.68]  are going to talk about some Advanced
[00:06.92]  flying vocabulary and the first thing I
[00:09.60]  want to say is that this vocabulary is
[00:13.04]  very specific it's all about travel now
[00:15.68]  if you are someone who flies often then
[00:19.72]  you may not think well oh this is not
[00:22.04]  that advanced I've heard these words and
[00:24.24]  phrases before and I think that's great
[00:26.44]  and then in that case you'll just get a
[00:28.08]  little review but I say there Advance
[00:30.68]  because you know some people fly a lot
[00:33.20]  others don't fly very often but if you
[00:35.60]  get on an airplane you go to the airport
[00:38.16]  this is vocabulary that I think is
[00:40.28]  useful and you may come across from time
[00:42.36]  to time and I also want to let you know
[00:45.36]  that if you would like to get a copy of
[00:49.12]  the lesson notes these notes right here
[00:52.32]  then check out the link down in the
[00:54.24]  description you can join our email
[00:56.52]  community and I you can access the notes
[00:59.56]  and from from time to time I will send
[01:01.32]  you notes if you're already a part of
[01:03.12]  the community check your inbox I have
[01:05.72]  sent them to you uh for those of you who
[01:08.80]  don't know me my name is Wes the channel
[01:10.76]  is interactive English it's all about
[01:13.24]  trying to help you reach your fluency
[01:16.04]  goals and let's let's begin this is an
[01:18.88]  interactive quiz so I want you to
[01:21.68]  participate let's start out with uh you
[01:25.20]  know talking about the airplane
[01:26.92]  different parts different areas of a
[01:30.72]  plane and I'll well I'll show you the
[01:34.24]  picture and let you know give you
[01:37.16]  information the definition down there
[01:39.60]  and I want you to write your answer in
[01:41.28]  the chat in the comments I want you to
[01:44.28]  participate in the lesson that's what
[01:46.36]  it's all about these are these are this
[01:49.12]  is active learning so what would you
[01:52.40]  call the compartment for the pilot in an
[01:56.40]  aircraft there are actually well a
[01:59.28]  couple of different words or phrases
[02:01.44]  that you could use I think this part is
[02:04.32]  will start out a little easy or easier
[02:07.40]  and then we'll get a little it'll get a
[02:09.44]  little more challenging as uh we go
[02:12.24]  through this so the compartment for the
[02:14.48]  pilot in an aircraft is
[02:19.00]  called the cockpit or you could say
[02:22.92]  flight deck either one of those works
[02:25.56]  great job uh SSI excellent great to see
[02:29.40]  you
[02:30.32]  uh fatty acid slana Lazaro excellent so
[02:33.68]  uh I'll give a few shout outs here and
[02:35.48]  there as we go through this so you could
[02:36.92]  say either the cockpit or refer to it as
[02:40.44]  the flight deck if you are flying on an
[02:42.48]  airplane and they make an announcement
[02:44.72]  uh the flight attendants you may hear
[02:46.76]  them use flight deck and they say that
[02:48.92]  phrase the next
[02:51.12]  one if you're you on a plane I'm sure
[02:53.64]  you've seen this part of the plane
[02:55.88]  before not many many of you may not have
[02:58.32]  been into in the cockpit pit uh but if
[03:01.44]  we're talking about the section of an
[03:03.80]  aircraft of a plane where the passengers
[03:07.44]  travel what would you call that section
[03:11.00]  this section right here you get on the
[03:13.28]  plane you go find your seat you sit down
[03:16.12]  but that whole area that section is
[03:20.20]  referred to as what I feel like some of
[03:25.40]  you probably fly quite often you're like
[03:27.24]  oh I know these you're gonna you're
[03:28.52]  gonna uh pass this quiz with flying
[03:31.28]  colors but like I said it's always good
[03:33.48]  to get review and I I think there
[03:35.76]  probably will even if you fly a lot
[03:37.48]  there's going to be something new today
[03:39.32]  at least that's my hope so uh as many of
[03:42.20]  you have said in the chat you would call
[03:44.04]  this the cabin so the area where people
[03:47.24]  sit uh where the passengers travel they
[03:50.68]  will call this the cabin and you will
[03:53.72]  when you get on the plane they'll make
[03:55.44]  an announcement you will definitely hear
[03:57.84]  this word well done uh Julia uh Angela
[04:02.56]  excellent the next one how about this
[04:05.84]  right
[04:06.76]  here I I'm not I know we're still it's
[04:09.52]  we're in the cabin but I'm really
[04:12.40]  referring to this specific this place
[04:15.88]  above the seats where you can store
[04:19.08]  luggage you have your bag you put it up
[04:22.32]  there and then you can close
[04:24.20]  it what
[04:27.28]  uh excuse me
[04:30.16]  what uh what would you call this it
[04:32.44]  actually has a few different names and
[04:35.96]  I'll accept um all of them so what what
[04:42.12]  would you
[04:42.96]  say then again the I think this is
[04:47.48]  useful you you're on a plane you're
[04:50.28]  people are going to talk about this
[04:53.60]  um so one of the key words in here would
[04:58.68]  be overhead so you're going to use
[05:02.12]  overhead and then I would follow it with
[05:04.92]  either well one of other one one of
[05:07.56]  three words um but they would say
[05:10.64]  overhead because it is it is over your
[05:12.80]  head where you're sitting so the
[05:16.80]  answer is well I told you one of three
[05:19.60]  you guys uh I think you guys got it so
[05:22.12]  you could say the overhead compartment I
[05:24.40]  know a lot of people I just saw you
[05:25.68]  putting in compartment
[05:27.52]  there sorry excuse me overhead bins or
[05:31.92]  even overhead storage all right either
[05:36.16]  uh any one of those phrases works and
[05:38.80]  this is something that we were I was
[05:40.40]  traveling yesterday with my wife and we
[05:42.28]  were talking about hopefully there's
[05:44.12]  enough room in by the time we board the
[05:46.16]  plane hopefully there's enough room in
[05:48.28]  the overhead compartment so we can put
[05:50.56]  our bags up there excellent great job uh
[05:54.00]  Vicki Gustaf good to see you nice um the
[05:57.56]  next one okay
[06:00.88]  how about this place right here this
[06:03.32]  area of the plane which is the
[06:07.04]  compartment of an aircraft where food is
[06:10.76]  cooked or
[06:12.92]  prepared and I honestly I don't know how
[06:16.48]  much cooking is is actually done I think
[06:19.52]  the food is like heated up but yeah you
[06:21.80]  could say it's cooked it's prepared a
[06:24.36]  lot of times the you'll find the the
[06:26.96]  flight attendant in this comp
[06:30.16]  apartment what part of the plane it has
[06:33.00]  a it has a
[06:34.52]  name
[06:36.32]  and again if you fly quite often I'm
[06:39.32]  sure you've you've heard this um maybe
[06:41.76]  even use it in conversations if you're
[06:44.20]  on an airplane or maybe not I don't know
[06:47.36]  but excellent it seems like uh I see
[06:50.28]  some good answers you would refer to
[06:53.04]  this as the galley this is the galley
[06:56.60]  great job school photo video um
[07:00.08]  RI nice nice mate
[07:03.32]  perfect how about uh this next one I
[07:06.76]  don't know do I have another picture are
[07:08.72]  we moving on to a different part of this
[07:10.76]  yes this is the I think the last part of
[07:13.76]  this well this part of the quiz and then
[07:16.84]  we'll uh look at something else I have a
[07:19.28]  little bit of a story to tell you and
[07:21.12]  we'll do some fill-in the blanks but how
[07:23.08]  about um this right here these are seats
[07:27.80]  directly behind the interior dividing
