Title     : POPULAR AMERICAN SLANG 🇺🇸  (Millennials & Gen Z)
Video ID  : AJdEpN82y0E
URL       : https://www.youtube.com/watch?v=AJdEpN82y0E
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 239
Saved at  : 2026-06-05 07:56:25
------------------------------------------------------------

[00:00.00]  let's learn some American slang and the
[00:03.66]  words and phrases that I'm getting ready
[00:05.22]  to teach you are mostly used by
[00:07.20]  Millennials and gen Z
[00:09.48]  technically speaking I am Gen X so I
[00:12.72]  don't personally use many of these words
[00:14.88]  and phrases but it is good for your
[00:17.76]  listening comprehension and it's also
[00:19.86]  good to stay up to date this lesson is
[00:22.32]  good for me as well because I need to
[00:24.78]  stay up to date with New Slang this this
[00:27.18]  may be the future of English so the
[00:29.94]  first phrase that I have for you is to
[00:32.28]  keep it 100. this means to be truthful
[00:35.88]  to be authentic and this is actually a
[00:38.46]  phrase that I learned recently from a
[00:40.68]  student of mine from Brazil I appreciate
[00:43.14]  it Chris keep it 100. I don't know it
[00:45.72]  maybe sounds a little awkward when I say
[00:47.82]  it but this is a phrase that has gone a
[00:51.18]  bit more mainstream lately so you may
[00:54.00]  hear it in the movie or TV show everyone
[00:56.46]  knows that keep it 100 and they do seem
[00:59.28]  to as they say keep it 100. I gotta keep
[01:02.88]  a wine with myself too keep it in a
[01:05.58]  honey
[01:06.38]  another fun thing about this phrase is
[01:09.06]  that people may use it when texting with
[01:12.06]  the Emoji 100 so to give you some
[01:15.54]  examples I have some tweets to share
[01:17.88]  with you can you keep it 100 with us
[01:20.10]  keep it 100 y'all try in these loyalty
[01:24.12]  is rare if you find it keep it 100. the
[01:27.30]  next slang word that I have for you is
[01:29.40]  extra now normally this adjective means
[01:33.18]  more than what is needed or usual can I
[01:36.84]  have some extra sauce or let's do
[01:39.36]  something extra special and people will
[01:41.88]  use this as an attributive adjective
[01:43.98]  that comes before the noun when we're
[01:46.02]  talking about slang meaning it's
[01:49.02]  slightly different so extra means
[01:52.26]  something that is well just attention
[01:55.44]  grabbing dramatic too much and it really
[01:59.40]  has a negative connotation most of the
[02:02.40]  time you're going to use it to refer to
[02:04.50]  a person and in this case you may use it
[02:07.44]  as a predicate adjective and it's going
[02:09.96]  to follow the verb to be he is so extra
[02:13.74]  she's being so extra that's so extra and
[02:18.12]  I'm using so just to give it a bit of
[02:20.40]  emphasis I seriously don't know how
[02:22.02]  you're ever married to her shoes so
[02:23.52]  extra she's a little extra yeah angry he
[02:25.80]  was a pro and he brought quite a lot of
[02:27.36]  fire path such an easy target yeah he
[02:29.40]  was so extra right right I could take
[02:31.14]  that girl out with like a fly sword he
[02:32.82]  rocks up in this Urban Assault Vehicle
[02:34.20]  then we have Vibe check so this is a way
[02:37.86]  of well checking someone's attitude
[02:40.56]  personality see how they're doing and
[02:42.72]  it's really done in a friendly way this
[02:45.96]  is often spontaneous and said at random
[02:49.14]  times like you just want to check in
[02:51.54]  with your friend and see how things are
[02:53.46]  going and all of this is according to
[02:55.74]  Urban Dictionary so to show you how this
[02:58.68]  phrase is used in context I have some
[03:01.26]  news headlines for you decoding Vibe
[03:03.54]  check the word overused by gen Z so I
[03:07.02]  guess this phrase is pretty common Vibe
[03:10.02]  check big Tech is losing its luster for
[03:12.42]  the class of 2023 amid mounting layoffs
[03:16.02]  and an uncertain economy I like how
[03:18.24]  Forbes is trying to be cool Vibe check
[03:20.40]  and then Google Maps will now Vibe check
[03:22.56]  your destination for you I suppose
[03:25.02]  that's a good feature and you get to
[03:26.82]  check people's Vibes before you go there
[03:28.80]  and then there's rent free now normally
[03:32.04]  this phrase would mean exactly what it
[03:34.80]  says that you are living somewhere and
[03:37.32]  not having to pay rent but when we're
[03:39.90]  talking about slang it's referring to an
[03:43.02]  obsession and somebody has this thought
[03:45.54]  they can't stop thinking about a person
[03:48.72]  in which case you could say that this
[03:51.84]  person is living rent free in your head
[03:55.14]  and that is a common collocation with
[03:57.30]  this phrase to live rent free in
[03:59.88]  someone's head think about it I live
[04:01.86]  foreign
[04:03.08]  nope they do not get another second free
[04:06.72]  rent in our heads right then we have
[04:09.00]  Stan I like this one because I think
[04:11.82]  it's become more and more common this is
