Title     : Three common train idioms explained  ￼
Video ID  : P0Leto91Fs4
URL       : https://www.youtube.com/watch?v=P0Leto91Fs4
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 22
Saved at  : 2026-06-05 16:51:02
------------------------------------------------------------

[00:00.00]  what does it mean to lose your train of
[00:02.72]  thought
[00:03.68]  if someone says that they lost their
[00:05.76]  train of thought it means they forgot
[00:08.00]  what they were thinking about and what
[00:09.60]  they were gonna say usually we use this
[00:11.60]  phrase when someone interrupts you is
[00:13.52]  there a good phrase for when you're
[00:15.44]  making a lot of money okay so i love
[00:17.84]  this phrase when you're making a lot of
[00:19.52]  money and life is very easy you can
[00:22.00]  either say you're on the money train or
[00:24.08]  you could say we're riding the gravy
[00:26.40]  train yes i said gravy my friend told me
[00:29.36]  the other day that her life was a train
[00:31.52]  wreck
[00:32.40]  what does that mean oh no okay if you
[00:35.28]  say your life is a train wreck or some
[00:37.68]  sort of situation is a train wreck it
[00:40.40]  means it's very bad it's very ugly
[00:43.04]  things are going
[00:44.40]  wrong
